sol, median_wind, 0_median_wind, 0_hour_fraction, 1_median_wind, 1_hour_fraction, 2_median_wind, 2_hour_fraction, 3_median_wind, 3_hour_fraction, 4_median_wind, 4_hour_fraction, 5_median_wind, 5_hour_fraction, 6_median_wind, 6_hour_fraction, 7_median_wind, 7_hour_fraction, 8_median_wind, 8_hour_fraction, 9_median_wind, 9_hour_fraction, 10_median_wind, 10_hour_fraction, 11_median_wind, 11_hour_fraction, 12_median_wind, 12_hour_fraction, 13_median_wind, 13_hour_fraction, 14_median_wind, 14_hour_fraction, 15_median_wind, 15_hour_fraction, 16_median_wind, 16_hour_fraction, 17_median_wind, 17_hour_fraction, 18_median_wind, 18_hour_fraction, 19_median_wind, 19_hour_fraction, 20_median_wind, 20_hour_fraction, 21_median_wind, 21_hour_fraction, 22_median_wind, 22_hour_fraction, 23_median_wind, 23_hour_fraction
214, 3.7185, 3.544, 0.999167, 3.482, 0.999444, 3.452, 0.999444, 3.325, 0.999444, 3.067, 0.999722, 3.331, 0.999444, 3.561, 0.999444, 4.3295, 0.999167, 9.771, 0.999444, 9.8795, 0.999722, 10.5945, 0.999444, 10.533, 0.999444, 9.317, 0.999444, 8.248, 0.999167, 8.67, 0.999444, 8.194, 0.999444, 5.99, 0.999722, 0.442, 0.999167, 1.212, 0.997778, 1.175, 0.998889, 1.793, 0.999444, 2.027, 0.999444, 3.7085, 0.999722, 3.324, 0.999444
215, 3.662, 3.539, 0.999444, 3.48, 0.999444, 3.445, 0.999167, 3.136, 0.999444, 2.811, 0.999444, 3.263, 0.999444, 3.011, 0.999444, 5.734, 0.999444, 10.311, 0.999444, 11.288, 0.999444, 10.29, 0.999722, 9.314, 0.999444, 9.122, 0.999444, 8.162, 0.999444, 7.234, 0.999444, 6.745, 0.999444, 5.0715, 0.999444, 0.485, 0.994444, 2.092, 0.997778, 1.637, 0.999722, 1.9025, 0.999444, 2.015, 0.999444, 3.568, 0.999444, 3.682, 0.999444
216, 5.1785, 3.698, 0.999444, 3.24, 0.999444, 3.228, 0.999444, 3.42, 0.999722, 3.335, 0.999444, 1.553, 0.999444, 3.816, 0.999444, 6.0895, 0.999167, 7.5925, 0.999444, 9.161, 0.999444, 10.019, 0.999444, 10.862, 0.999722, 8.034, 0.999444, 8.268, 0.999444, 8.318, 0.999444, 6.901, 0.999444, 5.911, 0.999444, 0.236, 0.999444, 0.708, 0.943056, , , , , , , , , 3.741, 0.122222
217, 3.697, , , , , , , , , , , , , , , , , , , , , , , , , 6.52, 0.216667, 8.117, 0.999167, 8.542, 0.999444, 7.766, 0.999444, 5.9295, 0.993056, 0.238, 0.973056, 1.459, 0.978889, 1.659, 0.999444, 1.729, 0.996111, 2.014, 0.999444, 3.718, 0.999722, 3.628, 0.886944
218, 3.839, 3.541, 0.999444, 3.476, 0.999444, 3.429, 0.999167, 3.6275, 0.999444, 3.872, 0.999444, 3.966, 0.999444, 3.606, 0.999722, 4.062, 0.999444, 4.658, 0.999167, 9.39, 0.999444, 11.004, 0.999722, 10.861, 0.999444, 9.484, 0.999444, 8.883, 0.999167, 7.578, 0.999444, 8.053, 0.999444, 6.1965, 0.996944, 0.454, 0.9925, 1.9065, 0.981389, 1.98, 0.999444, 1.941, 0.999444, 2.601, 0.999444, 3.6215, 0.999722, 3.068, 0.999444
219, 3.738, 3.549, 0.999444, 3.482, 0.999444, 3.345, 0.999444, 3.401, 0.999444, 3.702, 0.999444, 3.575, 0.999722, 3.125, 0.999167, 5.7515, 0.999444, 9.5525, 0.999444, 10.327, 0.999722, 11.6055, 0.999444, 11.291, 0.999444, 9.101, 0.999444, 8.664, 0.999167, 8.494, 0.999444, 7.203, 0.999444, 5.882, 0.998611, 0.462, 0.996944, 1.979, 0.996667, 1.175, 0.998333, 1.892, 0.999444, 2.017, 0.999722, 3.604, 0.999444, 3.262, 0.999444
220, 3.693, 3.622, 0.999444, 3.541, 0.999167, 3.394, 0.999444, 3.437, 0.999444, 3.102, 0.999722, 2.747, 0.999444, 2.6425, 0.999167, 7.07, 0.999444, 9.337, 0.999722, 9.6905, 0.999444, 9.652, 0.999444, 9.254, 0.999444, 8.296, 0.999444, 7.289, 0.999444, 6.6645, 0.999444, 7.9, 0.999722, 5.505, 0.999167, 0.241, 0.999444, 1.956, 0.986389, 1.199, 0.993333, 2.048, 0.999444, 2.312, 0.999444, 3.703, 0.999444, 3.525, 0.999444
221, 3.877, 3.596, 0.999444, 3.514, 0.999444, 3.462, 0.999444, 3.387, 0.999722, 3.881, 0.999444, 4.556, 0.999444, 3.752, 0.999167, 3.816, 0.999444, 4.444, 0.999722, 9.835, 0.999444, 10.096, 0.999167, 9.9975, 0.999444, 8.686, 0.999444, 7.391, 0.999444, 7.88, 0.999722, 7.697, 0.999444, 5.873, 0.998611, 0.461, 0.998333, 2.136, 0.998889, 2.104, 0.998333, 1.889, 0.999444, 2.586, 0.999167, 3.006, 0.999444, 3.634, 0.999444
222, 3.919, 3.588, 0.999444, 3.647, 0.999722, 3.832, 0.999444, 3.647, 0.999444, 3.859, 0.999444, 4.252, 0.999167, 3.401, 0.999444, 3.541, 0.999444, 6.589, 0.999444, 9.7855, 0.999444, 9.899, 0.999444, 9.9425, 0.999444, 9.173, 0.999722, 8.778, 0.999444, 8.785, 0.999444, 8.857, 0.999444, 5.944, 0.999722, 0.237, 0.997222, 0.712, 0.992222, 1.943, 0.996111, 2.045, 0.999444, 2.609, 0.999444, 3.315, 0.999444, 3.362, 0.999444
223, 3.872, 3.579, 0.999444, 3.498, 0.999444, 3.6, 0.999444, 3.527, 0.999167, 3.998, 0.999444, 4.08, 0.999444, 3.801, 0.999722, 3.432, 0.999167, 7.5985, 0.999444, 8.655, 0.999444, 10.0895, 0.999722, 10.454, 0.999444, 9.586, 0.999444, 8.729, 0.999167, 8.957, 0.999444, 8.647, 0.999444, 5.921, 0.990556, 0.426, 0.986944, 1.923, 0.999444, 1.834, 0.999444, 1.924, 0.998889, 2.308, 0.999722, 3.558, 0.999444, 3.4865, 0.999444
